id,user_id,company_id,can_sales,can_purchases,can_inventory,can_reports,created_at,updated_at
21,15,21,False,False,False,False,2025-12-09 06:21:43.262046+00:00,2025-12-09 06:21:43.262061+00:00
20,18,24,False,False,False,False,2025-11-29 03:13:56.223608+00:00,2025-12-12 02:36:18.575979+00:00
24,11,17,False,False,False,False,2025-12-17 10:33:39.787704+00:00,2025-12-17 10:33:39.787740+00:00
25,13,19,False,False,False,False,2025-12-17 11:12:36.440472+00:00,2025-12-17 11:12:36.440485+00:00
26,14,14,False,False,False,False,2025-12-17 11:25:58.339674+00:00,2025-12-17 11:25:58.339683+00:00
27,12,18,False,False,False,False,2025-12-23 10:30:59.231761+00:00,2025-12-23 10:30:59.231773+00:00
23,9,14,True,True,True,True,2025-12-16 06:04:47.294578+00:00,2026-02-13 02:53:34.755767+00:00
28,20,37,True,True,True,True,2026-02-23 11:57:34.873345+00:00,2026-02-23 11:57:34.873361+00:00
29,21,38,True,True,True,True,2026-02-23 11:58:51.312484+00:00,2026-02-23 11:58:51.312493+00:00
30,23,40,False,False,False,False,2026-03-28 11:52:03.481433+00:00,2026-03-28 11:52:03.481439+00:00
31,36,46,True,True,True,True,2026-04-12 05:10:47.167375+00:00,2026-04-12 05:10:47.167382+00:00
32,37,47,True,True,True,True,2026-04-13 04:32:29.355179+00:00,2026-04-13 04:32:29.355182+00:00
9,16,22,True,True,True,True,2025-11-27 11:08:09.043064+00:00,2025-11-27 11:08:09.043067+00:00
13,17,23,True,True,True,True,2025-11-27 22:49:58.453474+00:00,2025-11-27 22:50:07.306991+00:00
18,10,16,False,False,False,False,2025-11-28 00:38:27.173183+00:00,2025-11-28 00:38:27.173190+00:00
