id,template_id,menu_id,group_name,group_order,item_order,parent_id,is_sidebar_visible
8771,11,103,Dashboard Analytics,5,100.0,,False
8772,11,104,Dashboard Analytics,5,100.0,,False
10016,12,366,Manufacturing,23,243.0,340.0,True
10017,10,366,Manufacturing,23,243.0,340.0,True
10018,2,366,Manufacturing,23,243.0,340.0,True
10019,6,366,Manufacturing,23,243.0,340.0,True
10020,11,366,Manufacturing,23,243.0,340.0,True
10021,8,366,Manufacturing,23,243.0,340.0,True
10022,9,366,Manufacturing,23,243.0,340.0,True
10023,7,366,Manufacturing,23,243.0,340.0,True
6417,15,1,Transaction,20,100.0,,True
6418,15,2,Transaction,20,100.0,,True
6419,15,3,Transaction,20,100.0,,True
6420,15,4,Transaction,20,100.0,,True
6421,15,5,Transaction,10,100.0,,True
6422,15,6,Transaction,10,100.0,,True
6423,15,7,Transaction,10,100.0,,True
6424,15,8,Transaction,10,100.0,,True
6425,15,9,Transaction,10,100.0,,True
6426,15,10,Transaction,10,100.0,,True
6427,15,11,Transaction,10,100.0,,True
6428,15,35,Transaction,10,100.0,,True
6429,15,38,Transaction,10,100.0,,True
6430,15,80,Transaction,20,100.0,,True
10024,3,366,Manufacturing,23,243.0,340.0,True
10025,13,366,Manufacturing,23,243.0,340.0,True
10026,1,366,Manufacturing,23,243.0,340.0,True
10027,5,366,Manufacturing,23,243.0,340.0,True
10028,16,366,Manufacturing,23,243.0,340.0,True
8983,5,48,Accounting,3,100.0,,True
8984,5,50,Inventory,5,100.0,,True
8985,5,51,Settings,20,100.0,,True
5993,13,93,Delivery,26,100.0,,True
5994,13,94,Delivery,26,100.0,,True
5540,2,33,Setup,10,20.0,,True
5995,13,95,Delivery,26,100.0,,True
8986,5,52,Settings,20,100.0,,True
8987,5,53,Settings,20,100.0,,True
8988,5,54,Settings,20,100.0,,True
8989,5,55,Settings,20,100.0,,True
8990,5,56,Tasks,1,100.0,,True
8991,5,69,Inventory,5,100.0,,True
8992,5,70,Inventory,5,100.0,,True
8993,5,71,Settings,20,100.0,,True
8994,5,72,Settings,20,100.0,,True
8995,5,73,Settings,20,100.0,,True
8996,5,74,Settings,20,100.0,,True
8997,5,75,Settings,20,100.0,,True
8998,5,76,Settings,20,100.0,,True
8999,5,80,Accounting,3,100.0,,True
9000,5,82,Reports,6,100.0,,True
9001,5,83,Reports,6,100.0,,True
9002,5,84,Reports,6,100.0,,True
9003,5,85,Accounting,3,100.0,,True
9004,5,86,POS,2,1.0,,True
9005,5,88,POS,2,5.0,,True
9006,5,89,Tasks,1,100.0,,True
9007,5,90,Tasks,1,100.0,,True
9008,5,91,Tasks,1,100.0,,True
9009,5,93,Delivery,4,100.0,,True
9010,5,94,Delivery,4,100.0,,True
9011,5,95,Delivery,4,100.0,,True
9012,5,135,Accounting,3,3.0,,True
9013,5,136,Accounting,3,4.0,,True
9014,5,138,Settings,20,100.0,,True
9015,5,139,Settings,20,100.0,,True
9016,5,140,Settings,20,100.0,,True
10030,15,366,Manufacturing,23,243.0,340.0,True
10031,4,1,Accounting,20,100.0,,True
10032,4,2,Accounting,20,100.0,,True
10033,4,3,Accounting,20,100.0,,True
10034,4,4,Accounting,20,100.0,,True
10035,4,5,Sales,10,100.0,,True
10036,4,6,sales,10,100.0,,True
