id,company_id,code,name,type,taxable,default_amount,default_rate,calculation_basis,sort_order,expense_ledger_id,payable_ledger_id,is_active,created_at,updated_at,cost_center_option
2,14,GRADE,Grade,EARNING,False,,,,100,113.0,,True,2026-02-15 09:00:38.241307+00:00,2026-02-15 09:00:38.241310+00:00,
4,14,OVERTIME,Overtime,EARNING,False,,,,100,113.0,,True,2026-02-15 09:00:38.241319+00:00,2026-02-15 09:00:38.241322+00:00,
6,14,INCENTIVE,Incentive,EARNING,False,,,,100,113.0,,True,2026-02-15 09:00:38.241331+00:00,2026-02-15 09:00:38.241334+00:00,
8,14,SSF,SSF,DEDUCTION,False,,,,100,,,True,2026-02-15 09:00:38.241343+00:00,2026-02-15 09:00:38.241346+00:00,
9,14,LOAN,Loan,DEDUCTION,False,,,,100,,,True,2026-02-15 09:00:38.241349+00:00,2026-02-15 09:00:38.241352+00:00,
10,14,ADVANCE,Advance,DEDUCTION,False,,,,100,,,True,2026-02-15 09:00:38.241355+00:00,2026-02-15 09:00:38.241358+00:00,
11,14,LATE_PENALTY,Late Penalty,DEDUCTION,False,,,,100,,,True,2026-02-15 09:00:38.241361+00:00,2026-02-15 09:00:38.241364+00:00,
12,14,ABSENT_DED,Absent Deduction,DEDUCTION,False,,,,100,,,True,2026-02-15 09:00:38.241367+00:00,2026-02-15 09:00:38.241369+00:00,
13,37,BASIC,Basic,EARNING,False,,,,100,685.0,,True,2026-02-23 11:57:34.705685+00:00,2026-02-23 11:57:34.705703+00:00,
14,37,GRADE,Grade,EARNING,False,,,,100,685.0,,True,2026-02-23 11:57:34.705713+00:00,2026-02-23 11:57:34.705718+00:00,
15,37,ALLOWANCE,Allowance,EARNING,False,,,,100,685.0,,True,2026-02-23 11:57:34.705723+00:00,2026-02-23 11:57:34.705728+00:00,
16,37,OVERTIME,Overtime,EARNING,False,,,,100,685.0,,True,2026-02-23 11:57:34.705733+00:00,2026-02-23 11:57:34.705738+00:00,
17,37,BONUS,Bonus,EARNING,False,,,,100,685.0,,True,2026-02-23 11:57:34.705743+00:00,2026-02-23 11:57:34.705748+00:00,
18,37,INCENTIVE,Incentive,EARNING,False,,,,100,685.0,,True,2026-02-23 11:57:34.705752+00:00,2026-02-23 11:57:34.705757+00:00,
19,37,TDS,TDS/Tax,DEDUCTION,True,,,,100,,,True,2026-02-23 11:57:34.705762+00:00,2026-02-23 11:57:34.705767+00:00,
20,37,SSF,SSF,DEDUCTION,False,,,,100,,,True,2026-02-23 11:57:34.705771+00:00,2026-02-23 11:57:34.705776+00:00,
21,37,LOAN,Loan,DEDUCTION,False,,,,100,,,True,2026-02-23 11:57:34.705780+00:00,2026-02-23 11:57:34.705785+00:00,
22,37,ADVANCE,Advance,DEDUCTION,False,,,,100,,,True,2026-02-23 11:57:34.705789+00:00,2026-02-23 11:57:34.705794+00:00,
23,37,LATE_PENALTY,Late Penalty,DEDUCTION,False,,,,100,,,True,2026-02-23 11:57:34.705799+00:00,2026-02-23 11:57:34.705804+00:00,
24,37,ABSENT_DED,Absent Deduction,DEDUCTION,False,,,,100,,,True,2026-02-23 11:57:34.705809+00:00,2026-02-23 11:57:34.705813+00:00,
25,38,BASIC,Basic,EARNING,False,,,,100,715.0,,True,2026-02-23 11:58:51.186589+00:00,2026-02-23 11:58:51.186608+00:00,
26,38,GRADE,Grade,EARNING,False,,,,100,715.0,,True,2026-02-23 11:58:51.186614+00:00,2026-02-23 11:58:51.186620+00:00,
27,38,ALLOWANCE,Allowance,EARNING,False,,,,100,715.0,,True,2026-02-23 11:58:51.186626+00:00,2026-02-23 11:58:51.186632+00:00,
28,38,OVERTIME,Overtime,EARNING,False,,,,100,715.0,,True,2026-02-23 11:58:51.186639+00:00,2026-02-23 11:58:51.186649+00:00,
29,38,BONUS,Bonus,EARNING,False,,,,100,715.0,,True,2026-02-23 11:58:51.186672+00:00,2026-02-23 11:58:51.186678+00:00,
30,38,INCENTIVE,Incentive,EARNING,False,,,,100,715.0,,True,2026-02-23 11:58:51.186684+00:00,2026-02-23 11:58:51.186689+00:00,
31,38,TDS,TDS/Tax,DEDUCTION,True,,,,100,,,True,2026-02-23 11:58:51.186695+00:00,2026-02-23 11:58:51.186700+00:00,
32,38,SSF,SSF,DEDUCTION,False,,,,100,,,True,2026-02-23 11:58:51.186706+00:00,2026-02-23 11:58:51.186711+00:00,
33,38,LOAN,Loan,DEDUCTION,False,,,,100,,,True,2026-02-23 11:58:51.186717+00:00,2026-02-23 11:58:51.186721+00:00,
