id,tenant_id,product_id,ref_type,ref_id,qty_in,qty_out,rate,created_at
2937be0f-f1a4-4889-85e7-9a4075013c36,10,8,PURCHASE,104,5.0,2.0,1000.0,2025-12-23 18:15:00+00:00
6637889e-68b5-4930-841a-42da08ede4cc,10,13,PURCHASE,105,10.0,8.0,5000.0,2026-02-12 18:15:00+00:00
3494cd42-1078-46fc-bb1a-b5dd1f5f331f,12,25,PURCHASE,132,10.0,8.0,5000.0,2025-08-17 18:15:00+00:00
d43dbc71-d878-44f7-acce-1872b6155dca,12,16,PURCHASE,134,50.0,44.0,500.0,2025-11-17 18:15:00+00:00
6924f211-53a2-4011-b880-513462dfc867,12,16,PURCHASE,135,10.0,0.0,600.0,1968-12-30 18:30:00+00:00
e0369542-dc70-430d-9f51-321fe72f853d,12,16,PURCHASE,137,5.0,0.0,600.0,2026-04-04 18:15:00+00:00
6443e6bb-852e-4e4d-a341-7697421212b9,12,25,PURCHASE,139,5.0,0.0,5500.0,1969-05-25 18:30:00+00:00
6b5b63a1-a118-4a76-a31c-f3cfa82e0f9d,12,16,PURCHASE,140,10.0,0.0,500.0,1969-05-25 18:30:00+00:00
29fc5112-6146-4005-abe2-ed539ea36d33,12,25,PURCHASE,142,1.0,0.0,7000.0,2026-04-05 18:15:00+00:00
2ef8159a-f433-4447-9f07-8464d3c43580,12,16,PURCHASE,143,5.0,0.0,500.0,1969-07-18 18:30:00+00:00
446b2d36-c58f-4cc6-aec7-254112aa12b9,12,16,PURCHASE,144,1.0,0.0,500.0,1969-05-29 18:30:00+00:00
d1cd4b5b-90a7-4652-9044-6d6426bb0502,12,16,PURCHASE,145,1.0,0.0,500.0,1969-05-25 18:30:00+00:00
80db78bb-64cc-4ce7-ba10-db113ac4cc11,12,16,PURCHASE,146,1.0,0.0,500.0,2026-04-05 18:15:00+00:00
9700a3ba-dd65-4deb-b8f2-e4dae58adc2a,12,16,PURCHASE,147,1.0,0.0,500.0,2026-04-05 18:15:00+00:00
617b803e-bdb8-4992-aeed-ee6033ff20e2,12,16,PURCHASE,148,1.0,0.0,500.0,2026-04-05 18:15:00+00:00
278f71f4-6e68-4301-a22c-4ebddcad92cc,12,25,PURCHASE,149,1.0,0.0,7000.0,2026-04-05 18:15:00+00:00
00933060-33af-4e13-8d95-16aee715a7db,12,25,PURCHASE,141,1.0,1.0,6000.0,1969-05-25 18:30:00+00:00
836db647-0e89-4653-86c3-d025bc87a904,12,25,PURCHASE,151,1.0,0.0,5000.0,2026-04-09 18:15:00+00:00
b8a5f756-1e4a-458e-8796-a2e523183423,12,16,PURCHASE,151,1.0,0.0,500.0,2026-04-09 18:15:00+00:00
0da0afb8-9ccb-4fa1-82d7-5868529f8243,12,16,PURCHASE,152,5.0,0.0,500.0,2026-04-11 18:15:00+00:00
89be3ddf-1f7c-4e5c-ae8d-6fc89e875354,12,20,PURCHASE,152,5.0,0.0,700.0,2026-04-11 18:15:00+00:00
998c53ea-94ab-4725-897b-6d4b28b824da,12,16,PURCHASE,153,1.0,0.0,500.0,2026-04-11 18:15:00+00:00
e4595aa8-747a-4b9c-923e-b495dfcc517e,12,16,PURCHASE,154,1.0,0.0,500.0,2026-04-11 18:15:00+00:00
f1d19040-c1b1-4776-b23a-cd57762cd40f,12,25,PURCHASE,155,1.0,0.0,5000.0,2026-04-11 18:15:00+00:00
acd229e2-6cf8-4e2b-90d0-ad740e3afbd2,12,25,PURCHASE,156,1.0,0.0,5000.0,2026-04-11 18:15:00+00:00
718c7c5d-61db-4884-bf20-4e22b3dd2500,12,16,PURCHASE,157,1.0,0.0,500.0,2026-04-11 18:15:00+00:00
ce8e60ee-a1f3-4c10-80a2-4094acbe2924,12,25,PURCHASE,158,1.0,0.0,5000.0,2026-04-15 18:15:00+00:00
0df7499b-325a-4d3f-bb64-c7d04d0d2838,12,34,PURCHASE,159,200.0,0.0,1000.0,2026-04-15 18:15:00+00:00
48efa7a6-5c8a-4628-813b-c78ad589474d,12,33,PURCHASE,159,300.0,0.0,500.0,2026-04-15 18:15:00+00:00
fb5ac6d3-c7ef-4142-a3bc-1c50a3dc182d,12,33,PURCHASE,160,1.0,0.0,500.0,2026-04-23 18:15:00+00:00
3b78c212-97d3-4285-8f9d-9ae3368b08a7,12,16,PURCHASE,136,10.0,10.0,600.0,1968-12-30 18:30:00+00:00
