id,user_id,company_id,menu_id,allowed,access_level,tenant_id
301,9,14,70,True,full,12
313,9,14,72,True,full,12
299,9,14,56,True,full,12
229,9,14,47,True,full,12
235,9,14,50,True,full,12
240,9,14,54,True,full,12
319,9,14,80,True,full,12
309,9,14,64,True,full,12
323,9,14,78,True,full,12
339,14,14,58,True,full,12
361,14,14,86,True,full,12
358,14,14,85,True,full,12
330,14,14,57,True,full,12
39,14,14,18,True,full,12
295,14,14,52,True,full,12
346,14,14,72,True,full,12
354,14,14,74,True,full,12
146,15,21,13,True,full,17
145,15,21,12,True,full,17
143,15,21,3,True,full,17
142,15,21,2,True,full,17
164,15,21,29,True,full,17
162,15,21,5,True,full,17
157,15,21,19,True,full,17
152,15,21,11,True,full,17
147,15,21,14,True,full,17
300,9,14,69,True,full,12
315,9,14,71,True,full,12
214,9,14,32,True,full,12
16,9,14,19,False,full,12
236,9,14,51,True,full,12
331,22,14,47,True,full,12
6,9,14,4,False,full,12
320,9,14,58,True,full,12
308,9,14,63,True,full,12
340,14,14,59,True,full,12
343,14,14,63,True,full,12
353,14,14,66,True,full,12
37,14,14,16,True,full,12
360,14,14,83,True,full,12
296,14,14,54,True,full,12
111,14,14,30,True,full,12
351,14,14,73,True,full,12
362,14,14,89,True,full,12
167,15,21,30,True,full,17
158,15,21,20,True,full,17
153,15,21,15,True,full,17
148,15,21,28,True,full,17
230,9,14,48,True,full,12
237,9,14,52,True,full,12
312,9,14,73,True,full,12
341,14,14,60,True,full,12
348,14,14,64,True,full,12
332,22,14,48,True,full,12
304,9,14,60,True,full,12
310,9,14,67,True,full,12
321,9,14,81,True,full,12
110,14,14,29,True,full,12
363,14,14,90,True,full,12
166,15,21,7,True,full,17
159,15,21,21,True,full,17
154,15,21,16,True,full,17
149,15,21,24,True,full,17
2,9,14,1,False,full,12
238,9,14,55,True,full,12
317,9,14,75,True,full,12
342,14,14,61,True,full,12
347,14,14,68,True,full,12
298,14,14,50,True,full,12
307,9,14,66,True,full,12
303,9,14,61,True,full,12
322,9,14,77,True,full,12
333,4,19,82,True,full,16
334,4,19,83,True,full,16
335,4,19,84,True,full,16
359,14,14,84,True,full,12
352,14,14,75,True,full,12
165,15,21,8,True,full,17
163,15,21,6,True,full,17
160,15,21,22,True,full,17
155,15,21,17,True,full,17
150,15,21,9,True,full,17
